# GENERATED - do not edit translations here. Regenerate with:
#   python tools/build_glossary.py
# Term selection lives in references/glossary/glossary-terms.tsv;
# the translations are looked up in translations/it/.../mm678.po.
# Columns: msgctxt <TAB> English <TAB> it
autonote or awards	Accuracy Boost (White) = Orange + Yellow and Orange Layered	Ricostituente per l'Accuratezza (Bianco) = Arancione + Giallo e Arancione sovrapposti
autonote or awards	Air Resistance (White) = Red and Orange Layered + Blue and Purple Layered	Resistenza all'Aria (Bianco) = Rosso e Arancione sovrapposti + Blu e Viola sovrapposti
autonote or awards	Awaken (Green) = Yellow + Blue	Risveglio (Verde) = Giallo + Blu
autonote or awards	Bless (Red and Green Layered) = Red + Green	Benedizione (Rosso e Verde sovrapposti) = Rosso + Verde
autonote or awards	Bless (White) = Purple + Blue	Benedizione (Bianca) = Viola + Blu
autonote or awards	Body Resistance (White) = Blue and Green Layered + Yellow and Orange Layered	Resistenza al Corpo (Bianco) = Blu e Verde sovrapposti + Giallo e Arancione sovrapposti
autonote or awards	Catalyst (Gray) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalizzatore (Grigio) = Funghi + Bottiglia vuota. È possibile usare più reagenti grigi per potenziare l'effetto.
autonote or awards	Catalyst (Grey) = Mushrooms + Empty Bottle.  Different grey reagents can be used for increased effect.	Catalizzatore (grigia) = Funghi + ampolla vuota. Per aumentare l'effetto si possono utilizzare altri reagenti grigi.
autonote or awards	Cure Disease (Orange) = Yellow + Red	Cura malattia (Arancione) = Giallo + Rosso
autonote or awards	Cure Insanity (Orange and Green Layered) = Orange + Green	Cura Follia (Arancione e Verde sovrapposti) = Arancione + Verde
autonote or awards	Cure Paralysis (White) = Green + Yellow and Orange Layered	Cure Paralisi (Bianco) = Verde + Giallo e Arancione sovrapposti
autonote or awards	Cure Paralysis (White) = Orange + Yellow and Green Layered	Cure Paralisi (Bianco) = Arancione + Giallo e Verde sovrapposti
autonote or awards	Cure Poison (Purple) = Blue + Red	Cura veleno (Viola) = Blu + Rosso
autonote or awards	Cure Weakness (Yellow) = Poppysnaps + Empty Bottle.  Different yellow reagents can be used for increased effect.	Cura Debolezza (Giallo) = Capsule di Papavero + Bottiglia vuota. È possibile usare più reagenti gialli per potenziare l'effetto.
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle	Cura Ferite (Rossa) = More di Vedova + ampolla vuota
autonote or awards	Cure Wounds (Red) = Widoweeps Berries + Empty Bottle.  Different red reagents can be used for increased effect.	Cura Ferite (Rosso) = Bacche Lacrime di Vedova + Bottiglia vuota. È possibile usare più reagenti rossi per potenziare l'effetto.
autonote or awards	Divine Boost = Divine Power + Any attribute boost potion.	
autonote or awards	Divine Cure (Black) = Restoration + Orange	Cura Divina (Nera) = Ristoro + Arancione
autonote or awards	Divine Cure (White) = Red and Orange Layered + Yellow and Orange Layered	Cura Divina (Bianco) = Rosso e Arancione sovrapposti + Giallo e Arancione sovrapposti
autonote or awards	Divine Magic (Black) = Super Resistance + Green	Magia Divina (Nera) = Resistenza Superiore + Verde
autonote or awards	Divine Power (Black) = Extreme Energy + Purple	Potere Divino (Nera) = Energia Estrema + Viola
autonote or awards	Divine Power (White) = Blue and Green Layered + Yellow and Green Layered	Potere Divino (Bianco) = Blu e Verde sovrapposti + Giallo e Verde sovrapposti
autonote or awards	Divine Protection = Divine Cure + Any resistance potion.	
autonote or awards	Divine Restoration (White) = Blue and Purple Layered + Yellow and Orange Layered	Guarigione Divina (Bianco) = Blu e Viola sovrapposti + Giallo e Arancione sovrapposti
autonote or awards	Divine Restoration (White) = Red and Orange Layered + Blue and Green Layered	Guarigione Divina (Bianco) = Rosso e Arancione sovrapposti + Blu e Verde sovrapposti
autonote or awards	Divine Restoration (White) = Red and Purple Layered + Yellow and Green Layered	Guarigione Divina (Bianco) = Rosso e Viola sovrapposti + Giallo e Verde sovrapposti
autonote or awards	Divine Transcendence = Divine Restoration + Cure Insanity (or Remove Fear, or Remove Curse)	
autonote or awards	Earth Resistance (White) = Red and Purple Layered + Yellow and Orange Layered	Resistenza alla Terra (Bianco) = Rosso e Viola sovrapposti + Giallo e Arancione sovrapposti
